x,Path_loss
15.62414,-43.813
15.6652,-43.243
15.70089,-45.714
15.73091,-42.483
15.76543,-45.017
15.799,-42.8
15.83436,-46.823
15.86683,-46.57
15.89997,-43.433
15.9138,-47.108
15.92368,-49.991
15.94939,-57.784
15.96364,-62.377
15.98884,-66.622
16.00533,-68.365
16.03087,-71.406
16.06797,-69.347
16.09727,-68.111
16.12862,-69.41
16.15091,-68.903
16.16599,-63.993
16.17682,-60.413
16.19042,-57.594
16.19499,-54.268
16.20388,-51.195
16.21434,-48.28
16.23026,-44.574
16.23767,-44.004
16.25257,-44.986
16.26435,-45.999
16.28198,-46.57
16.29724,-46.696
16.30698,-45.492
16.32881,-43.212
16.36409,-45.144
16.39805,-42.673
16.43295,-44.827
16.46145,-43.148
